factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"1st & Fair Fashion Wear Pvt. Ltd.",Woven,5,180,100,100000,"Shirts ,Pants","Holding # 2059, Joy Bangla Road, National University, Gazipur, Joydevpur",Gazipur,Joydebpur,2015,Clean
"3A Fashions Ltd.",Knit,5,350,114,600000,"T-Shirts ,Polo Shirts","Khejur Bagar, Baro Ashulia, Dhaka, Savar",Dhaka,Savar,2010,Clean
"3M Composite Ltd.",Knit,5,250,116,100000,"T-Shirts ,Polo Shirts","Lithe Complex, Asian High Way, Shanarpar, Narayanganj, Siddirganj",Narayanganj,Shiddirganj,2009,Clean
"3N Fashion (BD) Ltd.",Knit,5,250,263,20000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 2924,2925,2939,2940, (Chairman Plaza) Dakkhin Khan Bazar, Dhaka, Dakkhin Khan",Dhaka,"Dakkhin Khan",2014,Clean
"3S International Ltd.",Knit,5,65,52,75000,"T-Shirts ,Polo Shirts","144/1, Alubdi (Ground & 1st Floor), Pallobi, Dhaka, Mirpur-12",Dhaka,Mirpur-12,2015,Clean
"4 Star Fashions Ltd.",Sweater,5,582,409,60000,Sweaters,"385/1, East Rampura (6th Floor), Dhaka, Rampura",Dhaka,Rampura,1998,Clean
"4 You Clothing Ltd.",Woven,5,440,162,8000,"Shirts ,Blouses ,Trousers","167/1, Senpara Parbata, Section # 10, Dhaka, Mirpur",Dhaka,Mirpur,1999,Clean
"4 Z Apparels",Woven,1,1,270,350000,"Shirt ,Pant ,T-shirt ,Polo shirt","Master Bari Road, Beraider Chala, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,2023,Clean
"4A Yarn Dyeing Ltd.",Sweater,5,721,1100,60000,"Sweaters ,Pullovers ,Cardigans","Kaichabari, Banshbari, DEPZ Road, Dhaka, Savar",Dhaka,Savar,2007,Clean
"4S-Park Style Ltd.",Knit,5,489,278,100000,"T-Shirts ,Polo Shirts ,Sleep Boxer ,Sweet Shirts","Durgapur, Ashulia, Dhaka, Savar",Dhaka,Savar,2008,Clean
"5F Apparels Ltd.",Woven,1,4,185,84000,"Shirt ,Pant ,Jacket ,Trouser","Zirabo, Ashulia, Savar, Ashulia, Dhaka",Ashulia,Dhaka,2016,Clean
"9 Star Apparels Inds. Ltd.",Woven,5,255,165,208000,"Caps ,Hats","Plot # 56, Vatulia, House # 116, Nurani Madrasa Road # 5, Dhaka, Turag",Dhaka,Turag,2014,Clean
"A & A Fashion Sweaters Ltd.",Sweater,5,700,300,72000,Sweaters,"Naljani (Wireless Gate), Gazipur","Naljani (Wireless Gate),",Gazipur,2004,Clean
"A & A Trousers Ltd.",Knit,5,800,518,156000,"Ladies Blouses ,Men's Pants ,Denim Jackets ,T-Shirts","Haribari Tak, Pubail College Gate, Gazipur, Sadar",Gazipur,Sadar,2008,Clean
"A & B Design & Fashion (Pvt.) Ltd.",Sweater,5,0,141,20800,Sweater,"Kalma, Dairy farm, Dhaka, Savar",Dhaka,Savar,2016,Clean
"A J Fashions Ltd.",Woven,5,831,658,75000,"Padding Jackets ,Shorts ,Fleece Tops ,Pants","234/4, Kachukhet, Dhaka, Cantonment",Dhaka,Cantonment,2000,Clean
"A Line Sport Ltd.",Woven,1,250,166,1050000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Plot # 22, Rajabari, Nishatnagar-1711, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
"A One Dress Makers Ltd.",Knit,5,400,180,120000,"Shirts ,Pants ,Skirts","1703, Rayerbagh, Dania, Dhaka, Shampur",Dhaka,Shampur,2006,Clean
"A Plus Industries Ltd.",Woven,5,1900,1276,720000,"Shirts ,Sweaters","Plot # 28, Section # 7, Dhaka, Dhaka",Dhaka,Dhaka,2006,Clean
"A Plus Sweater Ltd.",Sweater,5,777,1318,1800000,Sweater,"Sarifpur Road, Maleker Bari, National University, Gazipur, Gazipur",Gazipur,Gazipur,2013,Clean
"A S Fashion House",Knit,1,140,100,350000,"T-Shirt ,Polo Shirt ,Jacket ,Payjama","Mouchak, Kaliakair, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"A.B. Sweater Inds. (BD) Ltd.",Sweater,5,240,260,36000,Sweaters,"Khadun, Tarabo Pouroshava, Rupganj, Narayanganj, Narayangonj",Narayanganj,Narayanganj,2008,Clean
"A.B.M. Fashions Ltd.",Woven,5,900,400,130000,"Trousers ,Overalls ,Children Wears ,Uniforms","Holding # 1143, 1145, Konabari, Gazipur, Kashimpur",Gazipur,Kashimpur,1992,Clean
"A.G. Dresses Limited.",Woven,5,505,219,100000,"Shirts ,Trousers","Plot # 9, Block - C, Tongi I/A, Himardighi, Gazipur, Tongi",Gazipur,Tongi,1992,Clean
"A.J. Super Garments Ltd.",Woven,5,2633,1280,310000,"Shirts ,Pants ,Trousers ,Shorts","Goshbagh (1st - 6th Floor), Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2005,Clean
"A.K. Khan & Co. Ltd.(Garments Div)",Woven,5,850,375,100000,"Ladies Shirts","Kalurghat Heavy Industrial Area, Chittagong, Kalurghat",Chittagong,Kalurghat,1986,Clean
"A.K.J. Fashions Fabrics Ltd.",Woven,5,250,83,60000,"Trousers ,Jackets ,Overalls ,Pants","Plot # 15-16, Road # 4, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,2005,Clean
"A.K.M. Knit Wear Ltd.",Woven,5,16815,6500,1950000,"Pants ,Trousers ,Jackets ,Rumpers","14, Gedda, Conpara, Ulail, Dhaka, Savar",Dhaka,Savar,2001,Clean
"A.M. Design Ltd.",Woven,5,990,1038,240000,"Ladies Dress ,Jackets ,Skirts ,Trousers","Diakhali, Baron, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2005,Clean
"A.M. Fashion",Sweater,5,200,70,4800,Sweater,"MazuKhan, Harbide, Gaibandha, B. Baria",Gaibandha,"B. Baria",2016,Clean
"A.N. Sweaters Ltd.",Sweater,5,350,250,36000,Sweaters,"Plot # 6594-95, South Halishahar, Chittagong","Plot # 6594-95, South Halishahar",Chittagong,2003,Clean
"A.N.B. Fashion Ltd.",Woven,1,207,141,100000,"Shirt ,Pant ,Jacket ,T-Shirt","Delux House (3rd & 4Th Floor), 209/227 Kulgaon, Baluchara, Baizid Bostami, Chittagong, Chittagong",Chittagong,Chittagong,2022,Clean
"A.R.B. Knitting & Dyeing Inds. Ltd.",Knit,5,350,130,330000,"T-Shirts ,Polo Shirts ,Fleece Shirts","Dewan Idris Road, Zirabo, Dhaka, Savar",Dhaka,Savar,2008,Clean
"A.S. Garments & Textiles Ltd.",Woven,5,320,270,50000,"Pants ,Jackets ,Trousers ,Skirts","109, Goran, Dhaka, Shabujbagh",Dhaka,Shabujbagh,2000,Clean
"A.S.R. Apparels Ltd.",Woven,5,138,75,216000,"T-shirts ,Cripper","768, DIT Road, Chittagong, Double Mooring",Chittagong,"Double Mooring",1998,Clean
"A.S.T Garments Ltd.",Woven,1,300,245,14000,"Shirt ,Pant ,Jacket ,T-Shirt","Shahalam Bhaban (3rd Floor), Painadi Notun Mohalla, Chittagong Road, Siddirgonj, Narayangonj, Narayangonj",Narayanganj,Narayanganj,2021,Clean
"A.T.S. Apparels Ltd.",Knit,5,1200,600,320000,"Shirts ,Pants ,Payjama ,Shorts","414, Kochakuri, Talirchala, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2005,Clean
"A.Z. Stitch Ltd.",Sweater,5,400,240,34000,Sweaters,"Gabindapur, Ujampur, Uttar Khan, Dhaka, Uttara",Dhaka,Uttara,2009,Clean
"A4B Wears Ltd.",Knit,5,175,235,850000,"Denim Shorts ,Denim Jackets ,T-Shirts","123, Dewanhat, Chittagong, Double Mooring",Chittagong,"Double Mooring",2006,Clean
"AA & S International Ltd.",Sweater,1,430,180,156000,Sweater,"Plot # 81-82, Building # A, Satarkul Road, North Badda, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
"AA Knit Fashion",Knit,1,1,100,350000,"T-Shirt ,Polo Shirt ,Jacket ,Pyjama","Mouchak, Kaliakair, Gazipur, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"Aanytex Limited",Knit,5,200,84,10000,"T-Shirts ,Polo Shirts","CH Plot # 1260, Harirampur, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2010,Clean
"AB Apparels Ltd.",Woven,5,2400,1400,1625000,"Shirts ,Pants","225, Singair Road, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2015,Clean
"AB Fashion Maker",Woven,5,190,100,8000,"Shirts ,Pants","Digirchala,, Chandana Chowrasta, Gazipur, Chandana",Gazipur,Chandana,2014,Clean
"AB Mart Fashionwear Ltd.",Knit,5,1050,505,16666,"Jackets ,T-Shirts ,Polo Shirts","786, Kakil Satiash Borodawra, 13/3, Purbapara, Mudafa, Tongi, Gazipur, Gazipur",Gazipur,Gazipur,2007,Clean
"ABA Fashions Ltd.",Woven,5,1150,520,200000,"Sports & Casual Wear ,Trousers ,Shorts ,Jackets","Sena Kalyan Comm. Complex (6th Floor), Plot # 9, Block-F, Gazipur, Tongi",Gazipur,Tongi,1999,Clean
"ABA Garments Ltd.",Woven,5,1050,396,210000,"Jackets ,Trousers ,Shorts ,Vests","Sena Kalyan Comm. Complex (6th & 8th Floor), Plot # 9, Block-F, Gazipur, Tongi",Gazipur,Tongi,1993,Clean
"Ababil Knit Composite Ltd.",Knit,5,350,112,260000,"T-Shirts ,Polo Shirts","A/6, BSCIC, Shasongaon, Narayanganj, Fatullah",Narayanganj,Fatullah,2014,Clean
"Abanti Colour Tex. Ltd.",Knit,5,1084,650,900000,"T-Shirts ,Polo Shirts","Plot # S.A.-646, Shashangaon, Narayanganj, Fatullah",Narayanganj,Fatullah,2004,Clean
"ABC Garments Ltd",Woven,5,600,300,340000,"Jackets ,Shorts ,Trousers ,Windbreakers","26, Mirpur Road, Dhaka, Mirpur Road",Dhaka,"Mirpur Road",1984,Clean
"ABC Knit Dyeing & Finishing Mills Ltd.",Knit,5,861,485,385000,"T-Shirts ,Polo Shirts ,Tank Top","Plot # 1, 3 & 5, Road # 14/A, Kadamtoli, Dhaka, Shampur",Dhaka,Shampur,2008,Clean
"Abedin Garments Ltd.",Woven,5,1900,1425,316667,"Shirts ,Babies Trousers ,Girls Dress ,Dresses","228/A, Tejgaon, Industrial Area, Dhaka, B. Baria",Dhaka,"B. Baria",1985,Clean
"ABG Sweaters Ltd.",Sweater,5,310,300,35000,Sweaters,"Teknogopara, Chanda Chourasta, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2008,Clean
"Abir Fashions",Knit,1,30,893,83340,"T-Shirts ,Polo Shirts ,Tank Tops ,Jacket","Plot # 44, Road # 2, Kutubail, (Post office Road), Fatullah, Narayanganj, Narayanganj, Narayangonj",Narayanganj,Narayanganj,2001,Clean
"Abloom Design Ltd.",Knit,5,550,227,500000,"T-Shirts ,Polo Shirts","37, South Sastapur, Narayanganj, Fatullah",Narayanganj,Fatullah,2014,Clean
"Ably Garments Ltd.",Knit,5,326,150,60000,"Jackets ,Dresses ,Pants ,Tops","JBC Shopping Centre (4th Floor), 22-23, Station Road, Chittagong","JBC Shopping Centre (4th Floor), 22-23, Station Road",Chittagong,1992,Clean
"Aboni Fashions Ltd.",Woven,5,489,175,60000,"Shirts ,Blouses","Plot # 23-24, Tetuljhora, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2000,Clean
"Aboni Knit Wear Ltd.",Knit,5,0,69,0,,"160-171, Tetulgora, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2001,Anomaly
"ABSS High-Tech Sweater Ltd.",Sweater,5,1040,550,200000,Sweaters,"Kalemeshar, Bord Bazar, Gazipur, National University",Gazipur,"National University",2012,Clean
"Achieve Fashion Ltd.",Woven,5,700,450,150000,"Shirts ,Pants","House # 39, Lane # 1, Yeasuddin Road, Noyapara, Dhaka, Dakkhin Khan",Dhaka,"Dakkhin Khan",2016,Clean
"ACME Apparels (Pvt) Ltd.",Knit,5,200,100,120000,"T-Shirts ,Boxer Shorts ,Bikini Briefs","CEPZ Lane, Omarshah Para, South Middle Halishahar, Chittagong, Bandar",Chittagong,Bandar,1995,Clean
"Active Composite Mills Ltd.",Knit,5,690,244,300000,"T-Shirts ,Polo Shirts ,Kids Items","Dewan Idris Road, ZIrabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2002,Clean
"Active Stitch Ltd.",Knit,5,265,189,200000,"Jersey ,Pants ,T-Shirts ,Polo Shirts","25-26, Posgola I/A, Dastagir Market-2, Dhaka, Postagola",Dhaka,Postogola,2010,Clean
"Adams Apparels Ltd.",Woven,5,450,320,150000,"Basic Denim ,Cargo Shorts ,Overalls ,Jackets","ETDA Bhaban, Plot # I/15-18, Lane-6, Block-D, Shahid Bag, Section-12, Dhaka, Mirpur",Dhaka,Mirpur,2007,Clean
"Adhunik Poshak Shilpa Ltd.",Woven,5,1868,150,45000,"Shirts ,Jackets ,Pants ,Shorts","Civil Engineers Towers, Industrial Plot # 1, Block - E, Avenue # 1, Section # 11, Dhaka, Mirpur",Dhaka,Mirpur,1994,Clean
"Adila Apparels",Woven,5,0,153,420000,"T-Shirts ,Underwears ,Panties ,Bra","Eshak Shopping Complex (1st Fl), 212, Baizid Bostami, Chittagong, Chittagong",Chittagong,Chittagong,2008,Clean
"Aditi Apparels Ltd.",Woven,5,313,160,80000,"Padding Jackets ,Children Wears ,Long Pants","26/A/B, 2nd Colony, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,1992,Clean
"Aditto Fashion Ltd.",Knit,5,186,126,998410,"Shirts ,Pants ,T-Shirts ,Polo Shirts","228/7, Dighirchala, Gazipur, Chandana",Gazipur,Chandana,2014,Clean
"Adorn Fashions Ltd.",Sweater,5,450,350,50000,Sweaters,"228/7, Dighi Chala, Chandona Chowrasta, Gazipur, Chandana",Gazipur,Chandana,2010,Clean
"Adorn Knitwear Ltd.",Knit,5,433,255,150000,"T-Shirts ,Polo Shirts ,Tank Tops","42, Chowrangi Super Market (4th Fl), Savar Bazar, Dhaka, Savar",Dhaka,Savar,2007,Clean
"Adury Apparels Ltd.",Knit,5,2600,1000,1466000,"T-Shirts ,Polo Shirts ,Tank Top","Karardi, Narsingdi, Shibpur",Narsingdi,Shibpur,2006,Clean
"Advance Attire Ltd.",Woven,5,650,0,375000,"Shirts ,Bottoms ,Pant ,Jacket","25/2, Shah Ali Bagh (4th & 5th Floor), Mirpur-1, Dhaka, Dhaka",Dhaka,Dhaka,2007,Clean
"Advance Design",Knit,5,550,150,130000,"Jackets ,Pants ,T-Shirts","5, Sujat Nagar (7th & 8th Fl), Section # 12, Pallabi, Dhaka, Mirpur",Dhaka,Mirpur,2011,Clean
"Advance Sweater Industry Ltd.",Sweater,5,900,700,80000,Sweaters,"70/3, Chandana, Gazipur, Joydevpur",Gazipur,Joydebpur,2003,Clean
"Advance World Ltd.",Knit,5,380,262,300000,"T-Shirts ,Polo Shirts ,Single Jersey","Shiachar, Lal Khan, Narayanganj, Fatullah",Narayanganj,Fatullah,2007,Clean
"AFCO Abedin Garments Ltd.",Woven,5,350,186,80000,"Pants ,Trousers ,Overalls ,Shorts","House # 84, New Airport Road, Dhaka, Banani",Dhaka,Banani,1985,Clean
"Affan Composite Ltd.",Woven,5,1250,729,260000,"Shirts ,Pants","Kashizuli, Vitipara, Bormi, Gazipur, Sreepur",Gazipur,Sreepur,2016,Clean
"Afifa Apparels Ltd.",Woven,1,3,264,95000,"Shirt ,Pant ,Jacket ,T-Shirt","7, Sahid Kazi Nazrul Islam Sharak, Tikatuli, Hatkhola, Dhaka, Dhaka",Dhaka,Dhaka,2021,Clean
"Afrah Dresses Ltd.",Woven,5,497,350,100000,"Jackets ,Pants ,Skirts","CDA Market, 75/B, Sagorica Complex, Chittagong, Pahartoli",Chittagong,Pahartoli,2005,Clean
"Aftab Garments Ltd.",Knit,5,0,0,650000,"T-Shirts ,Polo Shirts","Vannara, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2009,Anomaly
"Aftabunnesa Garments Ltd.",Knit,5,419,297,1000000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Moghal Nagar Waskuruni Road, Dhaka, Jatrabari",Dhaka,Jatrabari,2010,Clean
"Aftabunnesa Textiles Ltd.",Woven,5,450,215,80000,"Shirts ,Pants ,Trousers","Moghal Nagar, Waskuruni Road, Dhaka, Demra",Dhaka,Demra,2009,Clean
"AG's Apparels Ltd",Woven,5,450,176,104000,"Ladies Shirts ,Fashion Wears ,Infants Wears ,Uniforms","Sat Masjid Super Market (2nd floor), Plot # Gha, Block # D, Dhaka, Mohammadpur",Dhaka,Mohammadpur,1985,Clean
"Agami Apparels Ltd.",Woven,5,243,205,41600,"Shirts ,Jackets ,Pants","62, Kathgara, Bishmail, Zirabo Road, Ashulia, Dhaka, Savar",Dhaka,Savar,1993,Clean
"Agami Fashions Limited",Woven,5,243,205,41600,"Shirts ,Jackets ,Pants","Holding # H-79/1, Chandra, Kaliakoir Pourashava, Gazipur, Kaliakoir",Gazipur,Kaliakoir,1997,Clean
"Ahad Fashion Ltd.",Knit,5,300,145,200000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Remon Tower, Baipail, Natun Para, Ashulia, Dhaka, Savar",Dhaka,Savar,2011,Clean
"Ahmed Fashions",Knit,1,50,0,66670,"Tops ,T-shirts ,Jacket ,Polo Shirt","34/1, Darus Salam Road, Mirpur-1, Dhaka-1216, Dhaka, Dhaka",Dhaka,Dhaka,2001,Clean
"Ahmed Socks Industries",Knit,1,140,120,494000,,"Nayanagar, Ward # 04, Nishatnagar, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2019,Clean
"Ahsan Apparels Ltd.",Knit,5,850,325,650000,"Tank Top ,Sweat Shirt ,T-Shirts ,Polo Shirts","Siddhirganj Pool, siddirgonj, Narayanganj, Narayangonj",Narayanganj,Narayanganj,2016,Clean
"AIM Knit Wear Ltd.",Knit,5,150,100,20000,"T-Shirts ,Polo Shirts","H-79, Block-D, International Airport Road, Dhaka, Banani",Dhaka,Banani,1991,Clean
"Ajax Sweater Ltd.",Sweater,5,600,200,0,Sweaters,"Zirabo, Dhaka, Savar",Dhaka,Savar,1999,Anomaly
"AJI Apparels Industry Ltd.",Knit,5,669,550,245000,"T-Shirts ,Polo Shirts ,Jackets ,Vests","226, Singair Road, Hemayetpur, Dhaka, Savar",Dhaka,Savar,1995,Clean
"Akbar Apparels Ltd.",Knit,5,465,155,679000,"T-Shirts ,Polo Shirts ,Tank Top","Kasorghar, Mymensingh, Valuka",Mymensingh,Valuka,2001,Clean
"AKH Apparels Ltd.",Woven,5,1000,350,240000,"Shirts ,Jackets ,Pants","128, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2011,Clean
"AKH Eco Apparels Ltd.",Woven,5,3677,2907,14400000,"Shirts ,Pants","495 Balitha, Shah-Belishwer, Dhaka, Dhamrai",Dhaka,Dhamrai,2014,Clean
"AKH Fashions Ltd.",Woven,5,580,185,120000,"Shirts ,Blouses ,Denim","133/134, Hamayetpur, Dhaka, Savar",Dhaka,Savar,2000,Clean
"AKH Knitwear Ltd.",Knit,5,268,98,156000,"T-Shirts ,Polo Shirts ,Dresses","92, Raj Phulbaria, Dhaka, Savar",Dhaka,Savar,2006,Clean
"AKH Stitch Art Ltd.",Knit,5,789,204,900000,"Fleece Shirts ,Trousers ,Jackets ,Polo Shirts","Plot # 1, Road # 1, Berribandh, Dhaka, Mohammadpur",Dhaka,Mohammadpur,2006,Clean
"Akhand Fashion (Pvt.) Ltd.",Woven,5,220,256,500000,"Ladies Dress ,Ladies Swimmer ,Denim ,T-Shirt","Section # 7, Avenue # 1, Plot # 4 & 5, Pallabi I/A, Dhaka, Dhaka",Dhaka,Dhaka,2016,Clean
"Akik Apparels Ltd.",Woven,5,415,186,100000,"Shirts ,Ladies Blouses ,Ladies Dresses","220/A, 1/1, West Kafrul, Begum Rokeya Sarani, Dhaka, Mirpur",Dhaka,Mirpur,2005,Clean
"AKR Fashions Ltd.",Woven,5,480,250,2160000,"Men's Shirt ,Ladies Shirt ,Pant","Jorpul Bus Stand, Tetuljhora, Rajfulbaria, Savar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2004,Clean
"Al Yusar Textiles Ltd.",Woven,1,247,133,90200,"Shirt ,Pant ,Jacket","Keshabpur, Sitalpur, Sitakunda, Chittagong, Chittagong",Chittagong,Chittagong,2021,Clean
"Al-Amin Export Ltd.",Knit,5,750,500,830000,Sweater,"Al-Amin Center, Madani Nagar, Sanarpar, Narayanganj, Siddirgonj",Narayanganj,Shiddirganj,2014,Clean
"Al-Amin Garment Inds. Ltd",Knit,5,600,500,500000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Wazedia, Panchlaish, Chittagong, Panchlaish",Chittagong,Panchalaish,1984,Clean
"Al-Amin Knit Wears",Knit,1,1,118,350000,"T-Shirt ,Polo Shirt","Madaninagar,Sanarpar, Siddirgonj, Narayanganj, Narayangonj",Narayanganj,Narayanganj,2023,Clean
"Al-Islam Textiles Ltd.",Woven,5,3478,3500,7945000,"Jackets ,Trouser ,Shirt ,Pant","9, Karnapara, Savar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2010,Clean
"Al-Ittefaq Textiles Ltd.",Knit,5,200,400,12000,"T-Shirts ,Polo Shirts","Plot # 11, Mohora CDA I/A, Chittagong, Chandgaon",Chittagong,Chandgaon,2015,Clean
"Al-Muslim Fashions Wear Ltd.",Woven,5,350,150,75000,"Jackets ,Pants ,Pumpers ,Trousers","Razzak Plaza, B-120 Jaleshwar, Savar Bazar Bus Stand, Dhaka, Savar Bazar",Dhaka,"Savar Bazar",1997,Clean
"Al-Muslim Garments Ltd.",Woven,5,600,250,100000,"Pants ,Jackets ,Trousers ,Rumpers","Razzak Plaza, B-120 Jaleshwar, Savar Bazar Bus Stand, Dhaka, Savar",Dhaka,Savar,1992,Clean
"Al-Tahsin Apparels Ltd.",Knit,5,700,315,575000,"Long Pants ,Polo Shirts ,Sweat Shirts ,Bermuda","Chandura, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2007,Clean
"Alamode Apparels Ltd.",Knit,5,450,176,720000,"T-Shirts ,Underwears ,Briefs","12/13, BSCIC I/A, Chittagong, Kalughat",Chittagong,Kalurghat,2008,Clean
"Alauddin & Sons (Pvt.) Ltd. (Gr.Dv.)",Woven,5,307,154,46000,"Jackets ,Trousers ,Pants ,Dresses","120, East Tejturi Bazar, Dhaka, Tajgaon I/A",Dhaka,"Tajgaon I/A",1994,Clean
"Alauddin Garments Ltd.",Woven,5,562,152,60000,"Shirts ,Dresses ,Pants ,Jackets","88, Kazi Nazrul Islam Avenue, Dhaka, Kawran Bazar",Dhaka,"Kawran Bazar",2004,Clean
"Aleaya Sweater Ltd.",Sweater,5,201,297,45000,Sweaters,"Dhour, Dhaka, Uttara",Dhaka,Uttara,2007,Clean
"Alema Textiles Ltd.",Knit,5,2600,1093,1000000,"T-Shirts ,Blouses ,Jackets ,Pants","Basan Sarak Bazar, Gazipur, Vogra",Gazipur,Vogra,2010,Clean
"Alert Fashions Ltd.",Knit,5,350,150,180000,"T-Shirts ,Polo Shirts ,Under Garments ,Swim Suits","J. Alam Tower, Abdul Latif Road, Middle Halishahar, Chittagong, Bandar",Chittagong,Bandar,2006,Clean
"Aleya apparels Ltd.",Woven,5,1153,0,240000,"Shirts ,Pants","244, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2016,Clean
"Alfa Textiles Ltd.",Woven,5,1381,982,244392,"Dress Shirts ,Shirts ,Pants","49 (NP), Kalurghat I/A, Chittagong, Kalurghat",Chittagong,Kalurghat,1992,Clean
"Ali Garments Ltd.",Woven,5,990,520,244000,"Jackets ,Jogging Suits ,Pants ,Shorts","8, Dagerhcala (3rd Floor), Gazipur, National University",Gazipur,"National University",1985,Clean
"Alien Apparels Ltd.",Woven,1,535,200,2880000,"Shirt ,Pant ,Jacket ,Trouser","Kathalia, Kaliakoir, Gazipur, Gazipur, Gazipur",Gazipur,Gazipur,2017,Clean
"Aliens Texwear Ltd.",Knit,1,500,286,6000000,"Kids Items ,Men's Wear ,Ladies Wear","Hatimara, Kashimpur, Gazipur, Gazipur",Gazipur,Gazipur,2017,Clean
"Alif Apparels Limited",Woven,5,300,130,72000,"Shirts ,Blouses ,Sports wear","Road # 01, House # 11, Kha Ring Road, Dhaka, Mohammadpur",Dhaka,Mohammadpur,1992,Clean
"Alif Casual Wear Ltd.",Knit,5,1250,687,32000000,"T-Shirts ,Polo Shirts ,Shirts ,Pants","69 Vogra, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2014,Clean
"Alif Garments Ltd",Woven,5,435,271,146000,"Men's Shirts ,Ladies Blouses ,Dresses","21/22, Babar Road, Block- B, Dhaka, Mohammadpur",Dhaka,Mohammadpur,1985,Clean
"Alif Outwears Limited",Woven,5,250,114,70000,"Shirts ,Ladies Blouses ,Jacket","30, Ring Road (2nd Floor), Dhaka, Shamoli",Dhaka,Shamoli,1996,Clean
"Alif Textiles Ltd.",Woven,5,310,135,70000,"Men's Shirts ,Ladies Blouses ,Uniforms","74/A, Science Laboratary Road, Dhaka, Dhanmondi",Dhaka,Dhanmondi,1994,Clean
"Alim Knit (BD) Ltd.",Knit,5,1114,606,1000000,"T-Shirts ,Polo Shirts","Kashimpur, Gazipur, Nayapara",Gazipur,Nayapara,2009,Clean
"Alim Knitwears Ltd.",Knit,5,235,195,150000,"T-Shirts ,Polo Shirts ,Knit Trousers","27, Harunabad, Senanibas Road, Section # 12, Pallabi, Dhaka, Dhaka",Dhaka,Dhaka,2000,Clean
"Aliza Fashion Ltd.",Woven,5,350,170,26000,"Pants ,Trousers ,Jackets","Chaydank, K.B. Bazar, National University, Gazipur, Gazipur",Gazipur,Gazipur,2012,Clean
"All Round Knit Wear Ltd.",Knit,5,250,85,180000,"T-Shirts ,Polo Shirts","Godenail, Bhuiyanpara, Narayanganj, Siddirgonj",Narayanganj,Shiddirganj,2014,Clean
"All Weather Fashions Ltd.",Woven,5,750,463,100000,"Jackets ,Children Wears ,Trousers ,Dress","52, Shaheed Tajuddin Ahmed Sarani, Dhaka, Mohakhali",Dhaka,Mohakhali,1992,Clean
"Allahma Apparels",Woven,5,250,55,90000,"T-Shirts/Polo Shirts","Plot # 97, Street # 1, Block # D, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1990,Clean
"Alliance Apparels Ltd.",Woven,5,250,129,70000,"Shirts ,Jackets ,Pants","Shamsher Market, Darussalam, 191/1, South Bishil, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2011,Clean
"Alliance Fashion Wears Ltd.",Woven,5,310,250,36000,"Jackets ,Denim Items ,Trousers ,Jogging Suits","House # 79, Block - L, New Airport Road, Dhaka, Banani",Dhaka,Banani,1993,Clean
"Alliance Garments Ltd.",Woven,5,600,300,210000,"Trousers ,Padded Jackets ,Jogging Suits","House # 8 & 10, Road # 3, Section # 7, Mirpur I/A, Dhaka, Mirpur",Dhaka,Mirpur,1991,Clean
"Alliance Knit Composite Ltd.",Knit,5,767,666,700000,"T-Shirts ,polo Shirts","Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2014,Clean
"Alliance Stitches Ltd.",Sweater,5,1200,751,35000,"Trousers ,Skirts ,Vest","SFB # 4 (1st & 2nd floor), Ganakbari, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
