factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"Dragon Sweater & Spinning Ltd.",Sweater,5,2000,1000,200000,"Sweaters ,Cardigans ,Pullovers","25/2, DIT Road, Malibagh Chowdhury Para, Dhaka, Malibagh",Dhaka,Malibagh,1999,Clean
"Dragoni Fashions Ltd.",Woven,5,1128,1385,120000,"Shirts ,Jackets ,Pants","Kulgaon, Baluchara, Chittagong, Hathazari",Chittagong,Hathazari,1992,Clean
"Dream Bengal Garments Ltd.",Knit,5,315,255,7200000,"Knit Item ,Brassiers","Sector # 5, Plot # 25 & 26, Export Processing Zone, S. Halishahar, Chittagong, CEPZ",Chittagong,CEPZ,1995,Clean
"Dream Dress Ltd.",Woven,5,450,277,60000,"T-Shirts ,Pants ,Knit Items ,Swim Wears","68/X (III) Sagarika Road, Fauzdarhat, Chittagong, Pahartoli",Chittagong,Pahartoli,2001,Clean
"Dream Yard Attires Ltd.",Knit,5,350,120,2000000,"T-Shirts ,Polo Shirts","Chanmary, Narayanganj, Fatullah",Narayanganj,Fatullah,2014,Clean
"Dreamwears Limited",Woven,1,1550,1250,120000,"Jackets ,Outwear ,Windbreker","Plot # M-17 (Ground -2nd Floor), Senpara Parbata, Section # 14, Mirpur, Dhaka, Dhaka",Dhaka,Dhaka,1992,Clean
"Dress & Dismatic (Pvt) Ltd.",Woven,5,630,290,6000,"Outerwear ,Trouser ,shirt ,Pant","1101, DIT Road, Malibagh Chowdhury Para, Dhaka, Dhaka",Dhaka,Dhaka,2000,Clean
"Dress All Ltd.",Woven,1,2,300,25000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","South Krishnapur, Dhorenda, Birulia Road, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2023,Clean
"Dress Designers Ltd.",Knit,5,500,425,60000,"Swim Tranks ,Cargo Pants ,Trousers","1364/A, Askarabad, D.T. Road, Chittagong, Munsurabad",Chittagong,Munsurabad,1997,Clean
"Dress Knig Ltd.",Knit,5,185,150,10000000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Boktear Complex, South Hazipara, (Aturardepot), Wazedia, Chittagong, Baizid",Chittagong,"Bayzid Bostami",2016,Clean
"Dress Pants Ltd.",Woven,5,750,400,150000,"Shirts ,Pants","Dhorenda, South Krishnopur, Birulia road, Dhaka, Savar",Dhaka,Savar,2015,Clean
"Dress Shirts Ltd.",Woven,5,1400,900,240000,"Shirts ,Jackets ,Trousers","49 (NP) 4th Floor, Kalurghat, Chandgaon, Chittagong","49 (NP) 4th Floor, Kalurghat, Chandgaon",Chittagong,2004,Clean
"Dress UP Limited",Knit,5,1100,475,425000,"T-Shirts ,Polo Shirts ,Jogging Suits","Nigar Plaza, EPZ Road, Zamgora, Dhaka, Savar",Dhaka,Savar,2006,Clean
"Dress World Ltd.",Woven,5,1265,748,300000,"Shirts ,Uniforms ,Payjama Sets ,Trousers","Varari, Rajphulbaria, Tetuljhora, Dhaka, Savar",Dhaka,Savar,1999,Clean
"Dressmen Apparels Ltd.",Woven,5,529,262,130000,"Dress Shirts ,School Girl Shirts ,Boxer Shorts ,Blouses","Pallirant, Savar-Tangail Connecting Road, Shahbajpur, Gazipur, Kaliakoir",Gazipur,Kaliakoir,1999,Clean
"Dressmen Fashion Wear Ltd.",Woven,5,450,250,140000,"Dress Shirts ,GB School Shirts ,Pajama Sets ,Boxer Shorts","Khan Tower (4th & 5th Floor), 17, Sataish Main Sarak, Gazipur, Tongi",Gazipur,Tongi,2008,Clean
"Dressmen Garments Ltd.",Woven,5,1173,464,170000,"Dress Shirts ,GB School Shirts ,Pajama Sets ,Boxer Shorts","Pallirant, Savar-Tangail Connecting Road, Shahbajpur, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2003,Clean
"Dressmen Ltd.",Woven,5,769,425,150000,"Dress Shirts ,School Boys Shirts ,Boxer Shorts ,Pajamas","Pallirant, Savar-Tangial Connecting Road, Shahbajpur, Gazipur, Kaliakoir",Gazipur,Kaliakoir,1984,Clean
"DSL Sportwear Ltd.",Woven,5,1150,473,150000,"Sports & Casual Wear ,Trousers ,Skirts ,Pants","Sena Kalyan Comm. Complex (3rd Floor), Plot # 9, Block-F, Gazipur, Tongi",Gazipur,Tongi,2005,Clean
"DSL Sweater Ltd.",Sweater,5,594,650,72000,"Sweaters ,Pullovers ,Cardigans","450, Kalmeshwar, National University, Gazipur, Board Bazar",Gazipur,"Board Bazar",2005,Clean
"Ducati Apparels Ltd.",Woven,1,800,550,80000,Sweaters,"Kathgara, Ashulia, Dhaka, Dhaka",Dhaka,Dhaka,2003,Clean
"Dulal Brothers Ltd.",Knit,5,11,106,150000,"T-Shirts ,Polo Shirts ,Trousers","Sardaganj, Kashimpur, Gazipur, Dhaka, Dhaka",Dhaka,Dhaka,1992,Clean
"Duranto Knit Composite Ltd.",Knit,5,150,171,4500000,"T-Shirts ,Polo Shirts","A/64 (Part), 65 & 66, BSCIC I/E, Gazipur, Konabari",Gazipur,Konabari,2012,Clean
"Dwell Fashions Ltd.",Woven,5,550,286,80000,"Shirts ,Denim Pants ,Trousers ,Fleece Jackets","94, Mohakhali C/A, (4th, 5th & 6th Floor), Dhaka, Gulshan",Dhaka,Gulshan,1993,Clean
"Dynamic 5 Knit Wear Ltd.",Woven,1,5,175,2800000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","River City 18/G/A Shah Ahmed Bridge Link Road, Bakalia, Chittagong, Chittagong",Chittagong,Chittagong,2023,Clean
"Dynamic Export Zone Ltd.",Woven,1,2,52,6000,"Sweater ,Shirt ,T-Shirt ,Trouser","110/3, Adaboi, Payarabagan, Joydevpur, Gazipur, Gazipur",Gazipur,Gazipur,2021,Clean
"Dynamic Fashions Ltd.",Woven,5,200,100,60000,"Shirts ,Blouses ,Trousers ,Pajama Sets","1/1, Ring Road, Dhaka, Shamoli",Dhaka,Shamoli,1996,Clean
"Dynamic Sweater Inds. Ltd.",Sweater,5,1500,546,400000,"Ladies ,Men's ,Kids","10, Ganda, Dhaka, Dhaka",Dhaka,Dhaka,2002,Clean
"Dynasty Knit Fashions Ltd.",Sweater,5,762,220,31680,"Sweaters ,Pullovers ,Cardigans","Aukpara, Ashulia, Dhaka, Savar",Dhaka,Savar,1995,Clean
